Nama Proyek,Biaya,Profit
Proyek 1,4,5
Proyek 2,9,13
Proyek 3,8,11
Proyek 4,4,13
Proyek 5,3,13
Proyek 6,14,15
Proyek 7,1,3
Proyek 8,7,11
Proyek 9,17,27
Proyek 10,1,10
Proyek 11,7,16
Proyek 12,14,18
Proyek 13,15,25
Proyek 14,9,10
Proyek 15,6,13
Proyek 16,11,16
Proyek 17,5,9
Proyek 18,11,13
Proyek 19,3,10
Proyek 20,4,10
Proyek 21,12,22
Proyek 22,9,10
Proyek 23,15,24
Proyek 24,4,11
Proyek 25,3,12
Proyek 26,10,20
Proyek 27,12,22
Proyek 28,7,9
Proyek 29,2,6
Proyek 30,10,12
Proyek 31,8,10
Proyek 32,13,18
Proyek 33,15,21
Proyek 34,6,12
Proyek 35,12,16
Proyek 36,9,11
Proyek 37,20,23
Proyek 38,18,22
Proyek 39,6,14
Proyek 40,13,18
Proyek 41,18,22
Proyek 42,11,12
Proyek 43,8,9
Proyek 44,11,18
Proyek 45,9,11
Proyek 46,7,17
Proyek 47,11,15
Proyek 48,16,23
Proyek 49,15,18
Proyek 50,9,12
Proyek 51,8,17
Proyek 52,18,23
Proyek 53,19,26
Proyek 54,19,26
Proyek 55,12,16
Proyek 56,5,14
Proyek 57,16,18
Proyek 58,2,4
Proyek 59,5,8
Proyek 60,14,24
Proyek 61,3,10
Proyek 62,13,23
Proyek 63,15,24
Proyek 64,9,18
Proyek 65,1,3
Proyek 66,18,23
Proyek 67,11,13
Proyek 68,10,17
Proyek 69,6,14
Proyek 70,1,6
Proyek 71,17,20
Proyek 72,17,19
Proyek 73,10,19
Proyek 74,20,24
Proyek 75,5,11
Proyek 76,6,15
Proyek 77,17,18
Proyek 78,20,26
Proyek 79,16,17
Proyek 80,4,10
Proyek 81,10,14
Proyek 82,2,6
Proyek 83,19,21
Proyek 84,3,11
Proyek 85,3,12
Proyek 86,5,8
Proyek 87,16,25
Proyek 88,6,11
Proyek 89,17,27
Proyek 90,14,18
Proyek 91,18,22
Proyek 92,10,17
Proyek 93,12,20
Proyek 94,17,25
Proyek 95,4,8
Proyek 96,8,10
Proyek 97,11,12
Proyek 98,19,28
Proyek 99,8,18
Proyek 100,8,9
Proyek 101,3,4
Proyek 102,8,10
Proyek 103,2,8
Proyek 104,3,12
Proyek 105,8,13
Proyek 106,16,20
Proyek 107,18,21
Proyek 108,19,29
Proyek 109,16,20
Proyek 110,16,23
Proyek 111,7,9
Proyek 112,4,11
Proyek 113,12,19
Proyek 114,14,22
Proyek 115,2,4
Proyek 116,2,9
Proyek 117,11,13
Proyek 118,8,12
Proyek 119,7,16
Proyek 120,15,18
Proyek 121,14,17
Proyek 122,9,17
Proyek 123,8,10
Proyek 124,15,24
Proyek 125,4,5
Proyek 126,18,19
Proyek 127,3,7
Proyek 128,6,13
Proyek 129,16,24
Proyek 130,7,14
Proyek 131,2,5
Proyek 132,13,14
Proyek 133,13,18
Proyek 134,15,20
Proyek 135,14,23
Proyek 136,16,19
Proyek 137,7,12
Proyek 138,7,8
Proyek 139,19,28
Proyek 140,2,8
Proyek 141,2,3
Proyek 142,19,27
Proyek 143,17,26
Proyek 144,6,7
Proyek 145,17,19
Proyek 146,6,8
Proyek 147,20,22
Proyek 148,8,15
Proyek 149,4,14
Proyek 150,8,18
Proyek 151,20,21
Proyek 152,20,22
Proyek 153,14,24
Proyek 154,19,28
Proyek 155,11,16
Proyek 156,7,13
Proyek 157,8,13
Proyek 158,13,16
Proyek 159,10,18
Proyek 160,11,13
Proyek 161,1,9
Proyek 162,20,30
Proyek 163,4,6
Proyek 164,18,22
Proyek 165,17,22
Proyek 166,5,11
Proyek 167,3,7
Proyek 168,12,17
Proyek 169,6,14
Proyek 170,18,23
Proyek 171,20,29
Proyek 172,1,10
Proyek 173,10,12
Proyek 174,5,10
Proyek 175,4,6
Proyek 176,18,21
Proyek 177,9,14
Proyek 178,20,24
Proyek 179,11,15
Proyek 180,9,18
Proyek 181,16,21
Proyek 182,2,4
Proyek 183,14,19
Proyek 184,2,3
Proyek 185,11,14
Proyek 186,9,12
Proyek 187,15,24
Proyek 188,14,23
Proyek 189,1,3
Proyek 190,3,6
Proyek 191,18,19
Proyek 192,12,22
Proyek 193,18,21
Proyek 194,14,17
Proyek 195,2,7
Proyek 196,12,13
Proyek 197,12,16
Proyek 198,8,10
Proyek 199,12,21
Proyek 200,14,24
